,Mouse,track_length,correct,condition_b1_p2
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
0,1.0,88.0,1.0,1.0
